SCH0100;72;3;24;210;1;5;42;;14;17;305;17;2;10;5;5185;32;1;32
SCH0106;53;3;17.6666666666667;315;4;5;63;;;13;330;13;2;7;4;4290;10;2;5
SCH0107;120;5;24;143;3;3;47.6666666666667;;12;14;194;16;2;7;7;3104;68;1;68
SCH0108;116;11;10.5454545454545;128;2;6;21.3333333333333;;16;20;229;23;4;12;7;5267;46;1;46
SCH0109;34;2;17;92;3;9;10.2222222222222;;13;20;150;11;1;3;7;1650;17;1;17
SCH0112;60;5;12;60;4;10;6;;15;16;110;2;0;0;2;220;22;1;22
SCH0113;94;2;47;80;8;9;8.88888888888889;;16;20;137;8;2;1;5;1096;115;1;115
SCH0114;77;3;25.6666666666667;70;1;3;23.3333333333333;;16;14;216;5;1;2;2;1080;46;1;46
SCH0115;71;1;71;140;3;8;17.5;;14;14;239;12;2;6;4;2868;44;1;44
SCH0116;114;0;;86;4;8;10.75;;14;15;124;10;1;5;4;1240;29;2;14.5
SCH0118;148;2;74;40;2;7;5.71428571428571;;18;20;90;4;0;1;3;360;99;1;99
SCH0120;126;0;;42;8;8;5.25;;17;20;69;1;0;0;1;69;47;1;47
SCH0121;89;6;14.8333333333333;70;2;6;11.6666666666667;;14;12;136;12;3;4;5;1632;86;2;43
SCH0124;127;7;18.1428571428571;159;3;6;26.5;;12;12;209;10;3;3;4;2090;71;1;71
SCH0129;104;4;26;97;1;6;16.1666666666667;;11;9;153;4;0;2;2;612;38;2;19
SCH0130;134;5;26.8;60;7;7;8.57142857142857;;16;12;95;0;0;0;0;0;77;1;77
SCH0131;52;7;7.42857142857143;106;1;5;21.2;;15;10;164;6;0;4;2;984;36;1;36
SCH0135;80;4;20;92;0;2;46;;;18;122;26;6;9;11;3172;60;1;60
SCH0136;71;5;14.2;78;4;5;15.6;;14;13;139;13;3;6;4;1807;60;1;60
SCH0139;71;3;23.6666666666667;66;4;5;13.2;;19;19;112;4;2;0;2;448;58;1;58
SCH0142;105;5;21;89;3;5;17.8;;13;19;120;6;2;3;1;720;62;1;62
SCH0144;77;4;19.25;118;4;8;14.75;;14;;135;10;1;5;4;1350;123;1;123
SCH0147;63;3;21;319;0;3;106.333333333333;;;16;584;14;1;10;3;8176;39;2;19.5
SCH0149;110;7;15.7142857142857;115;5;6;19.1666666666667;;18;15;92;16;3;9;4;1472;97;1;
SCH0151;30;3;10;96;0;4;24;;14;12;455;60;20;20;20;27300;0;3;
