SCH0002;93;2;46.5;50;12;8;6.25;;;;62;2;0;1;1;124;96;1;
SCH0003;128;2;64;55;4;4;13.75;;;;71;5;1;1;3;355;38;1;
SCH0007;72;3;24;159;6;0;;;;;178;18;2;8;8;3204;73;1;
SCH0008;85;0;;93;0;4;23.25;;;;97;5;1;1;3;485;36;1;
SCH0009;113;6;18.8333333333333;76;0;1;76;;;;100;10;2;4;4;1000;30;1;
SCH0010;179;12;14.9166666666667;136;8;5;27.2;;;;131;9;3;4;2;1179;32;1;
SCH0011;174;8;21.75;90;10;4;22.5;;;;94;7;2;2;3;658;27;2;
SCH0012;46;2;23;198;9;7;28.2857142857143;;;;173;15;2;7;6;2595;37;2;
SCH0013;105;1;105;140;14;5;28;;;;129;13;2;5;6;1677;26;1;
SCH0018;94;2;47;87;8;5;17.4;;;;100;8;1;3;4;800;95;1;
SCH0019;97;2;48.5;167;6;4;41.75;;;;127;8;2;1;5;1016;23;2;
SCH0021;94;0;;98;14;5;19.6;;;;104;7;0;2;5;728;22;2;
SCH0022;113;2;56.5;97;4;4;24.25;;;;78;6;0;4;2;468;64;1;
SCH0024;125;3;41.6666666666667;188;8;1;188;;;;141;7;1;3;3;987;78;1;
SCH0025;66;3;22;167;4;5;33.4;;;;135;19;5;8;6;2565;37;1;
SCH0027;123;6;20.5;120;3;5;24;;;;148;5;1;2;2;740;65;1;
SCH0028;142;2;71;93;5;2;46.5;;;;117;5;1;4;0;585;110;1;
SCH0031;150;4;37.5;74;4;3;24.6666666666667;;;;89;3;0;0;3;267;77;1;
SCH0032;102;3;34;151;5;2;75.5;;;;152;4;0;3;1;608;85;1;
SCH0033;206;1;206;151;6;4;37.75;;;;135;10;1;6;3;1350;49;1;
SCH0036;171;2;85.5;128;1;0;;;;;117;8;1;2;5;936;82;1;
SCH0037;156;3;52;104;6;9;11.5555555555556;;;;143;5;1;0;4;715;96;1;
SCH0038;181;4;45.25;121;6;4;30.25;;;;116;5;1;0;4;580;63;1;
SCH0040;158;5;31.6;111;2;2;55.5;;;;101;12;3;4;5;1212;56;2;
